0	15001	800	228	1472	32
1	15001	1952	228	320	32
2	15001	416	166	192	32
3	15001	545	100	64	32
4	15001	735	101	64	32
5	15001	641	37	128	32
6	15001	897	164	128	32
7	15001	1375	132	192	32
8	15001	1279	35	128	32
9	15001	2624	230	512	32
10	15001	3263	295	1024	32
11	15001	3072	134	128	32
12	15001	2911	38	192	32
13	15001	3423	165	448	32
14	15001	3647	37	384	32
15	15001	3904	101	128	32
16	15001	3935	228	448	32
17	15001	4256	293	320	32
18	15001	4255	134	64	32
19	15001	4096	101	128	32
20	15001	4449	165	192	32
21	15001	4543	228	128	32
22	15001	4735	165	128	32
23	15001	4833	101	192	32
24	15001	4702	38	64	32
25	15001	5022	39	64	32
26	15001	5086	135	64	32
27	15001	4992	232	128	32
28	15001	5056	293	128	32
29	15001	5249	229	128	32
30	15001	5408	167	320	32
31	15001	5536	37	192	32
32	15001	5761	102	128	32
33	15001	5953	163	128	32
34	15001	6145	230	256	32
35	15001	6304	166	64	32
36	15001	6174	133	192	32
37	15001	6270	39	512	32
38	15001	6368	102	64	32
39	15001	6619	69	192	32
40	17001	6539	199	226	368
41	15002	290	34	580	32
42	16001	1660	223	256	64
43	16001	2236	222	256	64
44	15002	960	35	512	32
45	15002	2079	35	1472	32
46	15002	3231	37	448	32
47	13003	671	158	64	64
48	14005	723	224	32	448
49	14006	2520	224	32	448
50	11003	2529	152	64	64
51	11003	3296	222	64	64
52	13002	3167	158	64	64
53	11003	3678	221	64	64
54	11004	4127	159	64	64
55	11004	4385	350	64	64
56	13006	4573	94	64	64
57	14005	4883	224	32	448
58	14003	4883	223	32	448
59	11003	6241	94	64	64
60	11003	5984	93	64	64
61	12001	546	277	40	66
62	12001	977	275	40	66
63	12001	787	277	40	66
64	12001	443	276	40	66
65	11001	625	92	52	78
66	11001	1237	89	52	78
67	11002	1357	305	52	78
68	11002	845	307	52	78
69	12001	2055	275	40	66
70	12001	1957	276	40	66
71	11002	2686	306	52	78
72	12001	2525	279	40	66
73	11001	2905	92	52	78
74	11002	3486	371	52	78
75	11002	3040	370	52	78
76	11001	5254	284	52	78
77	11001	4724	220	52	78
78	11001	6041	283	52	78
79	12001	5433	212	40	66
80	12001	4841	148	40	66
81	12001	3937	275	40	66
82	12001	3428	343	40	66
83	12001	2952	341	40	66
84	12001	3924	149	40	66
85	12001	3652	83	40	66
